Category,Colors,Description,ItemId,Material_And_Care,PaginationImages,Sizes,Title,currentPrice,originalPrice,url
Home->Clothing->Tops and Blouses->Essential Sleeveless Shirt,"["" Black "","" Delicate Ecru ""]","With a slim fit and a bit of drape, count on this one every time you go to your closet. Point collar. Sleeveless. Button front placket. Back yoke. Shirttail hem.",501196," , 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/501196_8319""
""http://anninc.scene7.com/is/image/AN/501196_8319_ALT1""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL "","" XXL ""]",Essential Sleeveless Shirt,50,50,https://www.anntaylor.com/essential-sleeveless-shirt/501196
Home->Shoes->All Shoes->Eryn Suede Pumps,"["" True Navy "","" Black "","" Spiced Chai "","" Pepper Green ""]","A pointy toe adds undeniable sophistication to these covetable pumps - a noteworthy arrival in sumptuous suede. Pointy toe. Padded footbed for complete comfort. Covered 2 1/2"" heel.",379956," , Kid Suede ","[""http://anninc.scene7.com/is/image/AN/379956_1705""]","["" 5 "","" 5 1/2 "","" 6 "","" 6 1/2 "","" 7 "","" 7 1/2 "","" 8 "","" 8 1/2 "","" 9 "","" 9 1/2 "","" 10 "","" 11 ""]",Eryn Suede Pumps,128,128,https://www.anntaylor.com/eryn-suede-pumps/379956
Home->Suits->All Suits->The Petite Long Two-Button Blazer in Seasonless Stretch,"[""  Perfect Navy - Online Exclusive "",""  Black - Online Exclusive ""]","Designed to wear anywhere, anytime, any way you like, this ready-to-wear blazer is made with our endlessly flattering all-season stretch fabric. Notched lapel. Long button-open sleeves allow for versatility in styling. Two-button front. Front besom pockets. Back vent. Lined.",492677," , Shell: 48% Polyester, 48% Rayon, 4% Spandex, Body Lining: 100% Polyester, Sleeve Lining:95% Polyester, 5% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/492677_6600""
""http://anninc.scene7.com/is/image/AN/492677_6600_ALT1""
""http://anninc.scene7.com/is/image/AN/492677_6600_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",The Petite Long Two-Button Blazer in Seasonless Stretch,169,169,https://www.anntaylor.com/the-petite-long-two-button-blazer-in-seasonless-stretch/492677
Home->Suits->All Suits->The Petite Straight Pant In Doubleweave - Curvy Fit,"[""  Black - Online Exclusive ""]","This perfect wear-with-all pair is expertly tailored from doubleweave fabric dyed and finished in Japan. Known for its wrinkle resistance and exquisite draping, it moves with you from closet to carry-on. Front zip with double hook-and-bar closure. Belt loops. Front off-seam pockets. Back besom pockets.",477398," , 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/477398_2222http://anninc.scene7.com/is/image/AN/477398_2222http://anninc.scene7.com/is/image/AN/477398_2222http://anninc.scene7.com/is/image/AN/477398_2222""
""http://anninc.scene7.com/is/image/AN/477398_2222_ALT1http://anninc.scene7.com/is/image/AN/477398_2222_ALT1http://anninc.scene7.com/is/image/AN/477398_2222_ALT1http://anninc.scene7.com/is/image/AN/477398_2222_ALT1http://anninc.scene7.com/is/image/AN/477398_2222_ALT1""
""http://anninc.scene7.com/is/image/AN/477398_2222_ALT2http://anninc.scene7.com/is/image/AN/477398_2222_ALT2http://anninc.scene7.com/is/image/AN/477398_2222_ALT2http://anninc.scene7.com/is/image/AN/477398_2222_ALT2http://anninc.scene7.com/is/image/AN/477398_2222_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 8 "","" 10 "","" 12 "","" 14 "","" 16 ""]",The Petite Straight Pant In Doubleweave - Curvy Fit,119,119,https://www.anntaylor.com/the-petite-straight-pant-in-doubleweave-curvy-fit/477398
Home->Clothing->Tops and Blouses->Petite Essential Shirt,"["" Black "","" Winter White "","" Green Eden ""]","With a slim fit and a bit of drape, count on this one every time you go to your closet. Point collar. Long sleeves with button closure. Button front placket. Back yoke. Shirttail hem.",484090," , 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/484090_9192""
""http://anninc.scene7.com/is/image/AN/484090_9192_ALT1""]","["" XXS "","" XS "","" S "","" M "","" L "","" XL ""]",Petite Essential Shirt,50,50,https://www.anntaylor.com/petite-essential-shirt/484090
Home->Clothing->Pants->The Petite Curvy Cotton Crop Pant,"[""  White - Online Exclusive ""]","Give your wardrobe an instant upgrade with this essential pair, outfitted with clean lines, a slim cropped cut and an amazingly flattering fit. Fuller through the hip and thigh. Contoured waistband. Front zip with button closure. Belt loops. Front and back welt pockets. Side slits at ankle.",501958," , 98% Cotton, 2% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/501958_9000""
""http://anninc.scene7.com/is/image/AN/501958_9000_ALT1""
""http://anninc.scene7.com/is/image/AN/501958_9000_ALT2""]","["" 00 "","" 0 "","" 2 "","" 4 "","" 6 "","" 16 ""]",The Petite Curvy Cotton Crop Pant,69,69,https://www.anntaylor.com/the-petite-curvy-cotton-crop-pant/501958
Home->Clothing->Tops and Blouses->Petite Houndstooth Plaid Bow Neck Button Down Shell,"["" Black ""]","Any way you style it, our bow neck shell is poised and polished. V-neck with ties. Sleeveless. Button front. Shirttail hem.",496678," , 100% Polyester , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/496678_2222http://anninc.scene7.com/is/image/AN/496678_2222http://anninc.scene7.com/is/image/AN/496678_2222http://anninc.scene7.com/is/image/AN/496678_2222""
""http://anninc.scene7.com/is/image/AN/496678_2222_ALT1http://anninc.scene7.com/is/image/AN/496678_2222_ALT1http://anninc.scene7.com/is/image/AN/496678_2222_ALT1http://anninc.scene7.com/is/image/AN/496678_2222_ALT1http://anninc.scene7.com/is/image/AN/496678_2222_ALT1""
""http://anninc.scene7.com/is/image/AN/496678_2222_ALT2http://anninc.scene7.com/is/image/AN/496678_2222_ALT2http://anninc.scene7.com/is/image/AN/496678_2222_ALT2http://anninc.scene7.com/is/image/AN/496678_2222_ALT2http://anninc.scene7.com/is/image/AN/496678_2222_ALT2""]","["" XXS "","" XS "","" S "","" M ""]",Petite Houndstooth Plaid Bow Neck Button Down Shell,50,50,https://www.anntaylor.com/petite-houndstooth-plaid-bow-neck-button-down-shell/496678
Home->Accessories->Jewelry->Tortoiseshell Print Flower Pendant Necklace,"["" Gold ""]","We've enriched a timeless tortoiseshell print with season-perfect color in this charming flower pendant. 30"" length.",497098," , Imported ","[""http://anninc.scene7.com/is/image/AN/497098_3019""
""http://anninc.scene7.com/is/image/AN/497098_3019_ALT1""
""http://anninc.scene7.com/is/image/AN/497098_3019_ALT2""]","["" ONE SIZE ""]",Tortoiseshell Print Flower Pendant Necklace,49,49,https://www.anntaylor.com/tortoiseshell-print-flower-pendant-necklace/497098
Home->Accessories->Belts->Tortoiseshell Print Buckle Waist Belt,"["" Black "","" Rich Cognac ""]","Styled to sit at your waist, our rich tortoiseshell print buckle belt luxes up your look. 2"" width.",501546," , Smooth Faux Leather , , Imported ","[""http://anninc.scene7.com/is/image/AN/501546_2222""]","["" XS/S ""]",Tortoiseshell Print Buckle Waist Belt,50,50,https://www.anntaylor.com/tortoiseshell-print-buckle-waist-belt/501546
Home->Clothing->Tops and Blouses->Petite Pintucked Shell,"["" Winter White ""]",Pretty pintucks and fluid lines make this mixed media shell a silhouette for all seasons. Jewel neck. Sleeveless. Shirttail hem. Woven front. Knit back.,502053," , 95% Polyester, 5% Spandex , , Machine Washable , , Imported ","[""http://anninc.scene7.com/is/image/AN/502053_9192""
""http://anninc.scene7.com/is/image/AN/502053_9192_ALT1""
""http://anninc.scene7.com/is/image/AN/502053_9192_ALT2""]","["" XXS ""]",Petite Pintucked Shell,49,50,https://www.anntaylor.com/petite-pintucked-shell/502053
